//**********************************************
// Created using 13535  2576
// Date: 2007_12_12
// Time: 22:31
// Climbing the Citadel Level Data File
//**********************************************
sky,-200,0,2.0.5,0,25
health,10,580,.5,0,79
level,820,610,.5,0,80
score,10,10,.5,0,81
time,745,10,.5,0,120
manl,-1300,4600,1,0,14
manr,-1300,4600,1,0,15
manul,-1300,4600,1,0,16
manur,-1300,4600,1,0,17
tent,0,5040,1.2,0,19
tent,20000,380,1.2,0,19
level,384,5044,1,0,94
alt,19840,452,1,0,99
wreath,1059,4091,1,0,18
wreath,2079,3902,1,0,18
wreath,4159,3409,1,0,18
wreath,5595,3826,1,0,18
wreath,8053,2689,1,0,18
wreath,8431,4129,1,0,18
wreath,14556,2386,1,0,18
wreath,17958,2727,1,0,18
wreath,16975,2008,1,0,18
wreath,12060,3523,1,0,18
stocking,6616,2689,1,0,121
stocking,9754,3371,1,0,121
stocking,11909,4356,1,0,121
stocking,16522,2992,1,0,121
stocking,7070,3561,1,0,121
present,19168,1364,1,0,119
present,19093,2386,1,0,119
present,2722,3750,1,0,119
present,5369,3106,1,0,119
present,10246,3523,1,0,119
w_walk_l,1928,2576,.5,0,92
w_walk_l,3062,2538,.5,0,92
w_walk_l,3856,2348,.5,0,92
w_walk_l,4650,2348,.5,0,92
w_walk_l,6125,2197,.5,0,92
w_walk_l,7637,2045,.5,0,92
w_walk_l,8960,2045,.5,0,92
w_walk_l,9792,2045,.5,0,92
w_walk_l,10964,2121,.5,0,92
w_walk_l,11947,2121,.5,0,92
w_walk_l,13119,2008,.5,0,92
w_walk_l,14140,1856,.5,0,92
w_walk_l,14480,1553,.5,0,92
w_walk_l,15577,1364,.5,0,92
w_walk_l,16749,1288,.5,0,92
bhs_walk_l,2344,2197,.5,0,93
bhs_walk_l,3516,2197,.5,0,93
bhs_walk_l,4386,2159,.5,0,93
bhs_walk_l,5369,2083,.5,0,93
bhs_walk_l,6919,1818,.5,0,93
bhs_walk_l,8507,1970,.5,0,93
bhs_walk_l,10208,2008,.5,0,93
bhs_walk_l,12212,1705,.5,0,93
bhs_walk_l,13497,1591,.5,0,93
bhs_walk_l,14858,1250,.5,0,93
bhs_walk_l,16144,1288,.5,0,93
bhs_walk_l,11380,1705,.5,0,93
bhs_walk_l,17240,1212,.5,0,93
bhs_walk_l,9225,1705,.5,0,93
bhs_walk_l,6465,1667,.5,0,93
snow_boulder,5822,1439,1,0,21
snow_boulder,4915,1402,1,0,21
snow_boulder,5066,2348,1,0,21
